Rtg.,Vwrs.,Game,Conf.,Time,Net,Away,Home,Notes
"Saturday, October 29","Saturday, October 29","Saturday, October 29","Saturday, October 29","Saturday, October 29","Saturday, October 29",,,
3.2,5.380M,ClemsonFSU,ACC,8:07 PM,ABC,,,
2.9,4.647M,MichiganMichigan St.,Big Ten,12:00 PM,ESPN,,,
2.6,4.454M,FloridaGeorgia,SEC,3:30 PM,CBS,,,
2.15,3.770M,NebraskaWisconsin,Big Ten,7:06 PM,ESPN,,,
2.2,3.657M,NorthwesternOhio State,Big Ten,3:50 PM,ESPN,,,
2.2,3.513M,BaylorTexas,Big 12,3:40 PM,ABC,,,
1.95,2.920M,LOU/UVAPSU/PUR,ACCBig Ten,12:01 PM,ABC,,,
1.7,2.634M,MiamiNotre Dame,ACCInd.,3:41 PM,NBC,,,
1.3,1.963M,West VirginiaOklahoma St.,Big 12,12:06 PM,FOX,,,
—,1.772M,College GamedayLive from Utah,College GamedayLive from Utah,9:00 AM,ESPN,,,
0.9,1.519M,TennesseeS. Carolina,SEC,7:20 PM,ESPN2,,,
0.9,1.376M,WashingtonUtah,Pac-12,3:30 PM,FS1,,,
0.5,815K,Wash. St.Oregon St.,Pac-12,10:58 PM,ESPN2,,,
0.4,636K,KansasOklahoma,Big 12,7:04 PM,FS1,,,
0.3,505K,Texas TechTCU,Big 12,3:41 PM,ESPN2,,,
0.3,486K,ABC reverse mirror,ABC reverse mirror,12:00 PM,ESPN2,,,
0.2,370K,StanfordArizona,Pac-12,10:59 PM,FS1,,,
—,236K,MarylandIndiana,Big Ten,3:30 PM,ESPNU,,,
—,193K,N. Mexico St.Texas A&M,Sun BeltSEC,7:30 PM,ESPNU,,,
—,192K,UCFHouston,American,12:00 PM,ESPNU,,,
"Week nine numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3]","Week nine numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3]","Week nine numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3]","Week nine numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3]","Week nine numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3]","Week nine numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings [1], [2], [3]",,,
WEEK EIGHT,WEEK EIGHT,WEEK EIGHT,WEEK EIGHT,WEEK EIGHT,WEEK EIGHT,,,
"Thursday, October 20","Thursday, October 20","Thursday, October 20","Thursday, October 20","Thursday, October 20","Thursday, October 20",,,
—,1.400M,MiamiVa. Tech,ACC,7:00 PM,ESPN,,,
—,986K,BYUBoise St.,Ind.MWC,10:17 PM,ESPN,,,
—,165K,TroyS. Alabama,Sun Belt,7:30 PM,ESPNU,,,
"Friday, October 21","Friday, October 21","Friday, October 21","Friday, October 21","Friday, October 21","Friday, October 21",,,
—,1.516M,OregonCalifornia,Pac-12,10:33 PM,ESPN,,,
—,1.300M,USFTemple,American,6:59 PM,ESPN,,,
—,199K,SJSUSDSU,MWC,10:30 PM,ESPNU,,,
"Saturday, October 22","Saturday, October 22","Saturday, October 22","Saturday, October 22","Saturday, October 22","Saturday, October 22",,,
5.0,8.455M,Texas A&MAlabama,SEC,3:30 PM,CBS,,,
3.9,6.478M,Ohio StatePenn State,Big Ten,8:06 PM,ABC,,,
2.0,3.241M,WisconsinIowa,Big Ten,12:01 PM,ESPN,,,
1.9,3.183M,TCU/WVU orPUR/NEB,Big 12Big Ten,3:44 PM,ABC,,,
1.6,2.669M,MississippiLSU,SEC,9:21 PM,ESPN,,,
1.6,2.372M,LouisvilleN.C. State,ACC,12:01 PM,ABC,,,
1.4,2.343M,OklahomaTexas Tech,Big 12,8:11 PM,FOX,,,
1.25,2.130M,ArkansasAuburn,SEC,5:55 PM,ESPN,,,
—,1.813M,College GamedayFrom Alabama,College GamedayFrom Alabama,9:00 AM,ESPN,,,
0.9,1.368M,UtahUCLA,Pac-12,4:09 PM,FOX,,,
0.8,1.295M,TexasKansas St.,Big 12,12:00 PM,ESPN2,,,
0.4,631K,ESPN Goal Line,ESPN Goal Line,4:00 PM,ESPN,,,
0.3,517K,ABC reverse mirror,ABC reverse mirror,3:44 PM,ESPN2,,,
0.3,473K,HoustonSMU,American,7:10 PM,ESPN2,,,
0.3,454K,Oklahoma St.Kansas,Big 12,12:04 PM,FS1,,,
0.2,282K,WyomingNevada,MWC,10:46 PM,ESPN2,,,
—,274K,RutgersMinnesota,Big Ten,12:00 PM,ESPNU,,,
—,152K,Tenn. St.Vanderbilt,FCSSEC,7:29 PM,ESPNU,,,
—,69K,TulaneTulsa,American,3:46 PM,ESPNU,,,
—,42K,CharlotteMarshall,C-USA,5:30 PM,beIN,,,
"Week eight numbers from ShowBuzz Daily, Sports TV Ratings [1], [2], [3]","Week eight numbers from ShowBuzz Daily, Sports TV Ratings [1], [2], [3]","Week eight numbers from ShowBuzz Daily, Sports TV Ratings [1], [2], [3]","Week eight numbers from ShowBuzz Daily, Sports TV Ratings [1], [2], [3]","Week eight numbers from ShowBuzz Daily, Sports TV Ratings [1], [2], [3]","Week eight numbers from ShowBuzz Daily, Sports TV Ratings [1], [2], [3]",,,
WEEK SEVEN,WEEK SEVEN,WEEK SEVEN,WEEK SEVEN,WEEK SEVEN,WEEK SEVEN,,,
"Wednesday, October 12","Wednesday, October 12","Wednesday, October 12","Wednesday, October 12","Wednesday, October 12","Wednesday, October 12",,,
—,541K,App. StateUL-Lafayette,Sun Belt,8:00 PM,ESPN2,,,
"Friday, October 14","Friday, October 14","Friday, October 14","Friday, October 14","Friday, October 14","Friday, October 14",,,
—,1.881M,DukeLouisville,ACC,6:58 PM,ESPN,,,
1.0,1.475M,Miss. St.BYU,SECInd.,10:16 PM,ESPN,,,
—,185K,MemphisTulane,American,8:00 PM,ESPNU,,,
"Saturday, October 15","Saturday, October 15","Saturday, October 15","Saturday, October 15","Saturday, October 15","Saturday, October 15",,,
5.2,8.964M,Ohio StateWisconsin,Big Ten,8:07 PM,ABC,,,
3.9,6.582M,AlabamaTennessee,SEC,3:30 PM,CBS,,,
3.0,4.506M,N.C. StateClemson,ACC,12:01 PM,ABC,,,
2.3,3.713M,UNC/MIA orNEB/IND,ACCBig Ten,4:02 PM,ABC,,,
1.8,2.870M,StanfordNotre Dame,Pac-12Ind.,7:30 PM,NBC,,,
1.45,2.540M,MississippiArkansas,SEC,7:04 PM,ESPN,,,
1.2,1.775M,Kansas St.Oklahoma,Big 12,12:00 PM,ESPN,,,
—,1.706M,College Gamedayfrom Wisconsin,College Gamedayfrom Wisconsin,12:00 PM,ESPN,,,
0.9,1.311M,UCLAWash. St.,Pac-12,10:54 PM,ESPN,,,
0.6,961K,Wake ForestFSU,ACC,3:30 PM,ESPN,,,
0.6,871K,USCArizona,Pac-12,3:36 PM,FOX,,,
0.5,834K,W. VirginiaTexas Tech,Big 12,11:59 AM,FS1,,,
0.4,631K,IowaPurdue,Big Ten,12:00 PM,ESPN2,,,
0.3,454K,TulsaHouston,American,7:20 PM,ESPN2,,,
0.3,449K,ABC reverse mirror,ABC reverse mirror,4:02 PM,ESPN2,,,
0.3,364K,KansasBaylor,Big 12,3:44 PM,FS1,,,
0.2,344K,Colorado St.Boise St.,MWC,10:42 PM,ESPN2,,,
—,312K,MinnesotaMaryland,Big Ten,12:00 PM,ESPNU,,,
—,295K,Va. TechSyracuse,ACC,3:39 PM,ESPNU,,,
—,100K,TempleUCF,American,7:30 PM,ESPNU,,,
—,13K,UTSARice,C-USA,7:00 PM,beIN,,,
"Week seven numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings","Week seven numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings","Week seven numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings","Week seven numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings","Week seven numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings","Week seven numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings",,,
WEEK SIX,WEEK SIX,WEEK SIX,WEEK SIX,WEEK SIX,WEEK SIX,,,
"Wednesday, October 5","Wednesday, October 5","Wednesday, October 5","Wednesday, October 5","Wednesday, October 5","Wednesday, October 5",,,
0.3,497K,Ga. SouthernArk. State,Sun Belt,8:00 PM,ESPN2,,,
"Thursday, October 6","Thursday, October 6","Thursday, October 6","Thursday, October 6","Thursday, October 6","Thursday, October 6",,,
0.4,626K,TempleMemphis,American,7:55 PM,ESPN,,,
"Friday, October 7","Friday, October 7","Friday, October 7","Friday, October 7","Friday, October 7","Friday, October 7",,,
1.0,1.659M,ClemsonBos. College,ACC,7:25 PM,ESPN,,,
—,410K,SMUTulsa,American,7:25 PM,ESPN2,,,
"Saturday, October 8","Saturday, October 8","Saturday, October 8","Saturday, October 8","Saturday, October 8","Saturday, October 8",,,
3.9,6.553M,TennesseeTexas A&M,SEC,3:30 PM,CBS,,,
3.2,5.540M,FSUMiami,ACC,8:07 PM,ABC,,,
2.5,4.444M,AlabamaArkansas,SEC,7:02 PM,ESPN,,,
2.4,3.720M,Notre DameN.C. State,Ind.ACC,12:01 PM,ABC,,,
2.0,3.252M,VT/UNC orBYU/MSU,ACCInd/B1G,3:30 PM,ABC,,,
1.9,3.218M,IndianaOhio State,Big Ten,3:30 PM,ESPN,,,
1.7,2.788M,TexasOklahoma,Big 12,12:00 PM,FS1,,,
1.2,1.918M,AuburnMiss. St.,SEC,12:00 PM,ESPN,,,
—,1.846M,College Gamedayfrom Texas A&M,College Gamedayfrom Texas A&M,9:00 AM,ESPN,,,
1.1,1.837M,WashingtonOregon,Pac-12,7:35 PM,FOX,,,
1.05,1.754M,Wash. St.Stanford,Pac-12,10:46 PM,ESPN,,,
0.75,1.282M,MichiganRutgers,Big Ten,7:05 PM,ESPN2,,,
0.7,1.048M,IowaMinnesota,Big Ten,12:00 PM,ESPN2,,,
0.5,783K,UCLAArizona St.,Pac-12,10:37 PM,ESPN2,,,
—,701K,Texas TechKansas St.,Big 12,7:23 PM,ESPNU,,,
—,659K,Iowa St.Oklahoma St.,Big 12,3:39 PM,ESPNU,,,
0.3,507K,ABC reverse mirror,ABC reverse mirror,3:39 PM,ESPN2,,,
0.2,350K,ArizonaUtah,Pac-12,10:00 PM,FS1,,,
—,331K,TCUKansas,Big 12,12:00 PM,ESPNU,,,
"Week six numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings [1], [2]","Week six numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings [1], [2]","Week six numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings [1], [2]","Week six numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings [1], [2]","Week six numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings [1], [2]","Week six numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings [1], [2]",,,
WEEK FIVE,WEEK FIVE,WEEK FIVE,WEEK FIVE,WEEK FIVE,WEEK FIVE,,,
"Thursday, September 29","Thursday, September 29","Thursday, September 29","Thursday, September 29","Thursday, September 29","Thursday, September 29",,,
0.9,1.421M,UConnHouston,American,7:55 PM,ESPN,,,
0.3,513K,KansasTexas Tech,Big 12,8:30 PM,FS1,,,
"Friday, September 30","Friday, September 30","Friday, September 30","Friday, September 30","Friday, September 30","Friday, September 30",,,
2.0,3.333M,StanfordWashington,Pac-12,8:55 PM,ESPN,,,
—,579K,ToledoBYU,MACInd.,11:01 PM,ESPN2,,,
"Saturday, October 1","Saturday, October 1","Saturday, October 1","Saturday, October 1","Saturday, October 1","Saturday, October 1",,,
5.5,9.294M,LouisvilleClemson,ACC,8:00 PM,ABC,,,
4.3,6.851M,WisconsinMichigan,Big Ten,3:42 PM,ABC,,,
2.5,4.215M,GeorgiaTennessee,SEC,3:30 PM,CBS,,,
2.4,3.799M,TexasOklahoma St.,Big 12,12:01 PM,ABC,,,
1.9,3.190M,KentuckyAlabama,SEC,7:05 PM,ESPN,,,
1.4,2.104M,Notre DameSyracuse,Ind.ACC,12:00 PM,ESPN,,,
1.3,2.044M,OklahomaTCU,Big 12,5:06 PM,FOX,,,
—,1.828M,College Gamedayfrom Clemson,College Gamedayfrom Clemson,9:00 AM,ESPN,,,
1.1,1.743M,UNCFSU,ACC,3:40 PM,ESPN,,,
0.9,1.459M,Arizona St.USC,Pac-12,8:54 PM,FOX,,,
0.7,1.146M,IllinoisNebraska,Big Ten,3:30 PM,ESPN2,,,
0.7,1.040M,MiamiGa. Tech,ACC,12:00 PM,ESPN2,,,
0.7,1.027M,ArizonaUCLA,Pac-12,10:36 PM,ESPN,,,
0.3,566K,MemphisMississippi,AmericanSEC,7:00 PM,ESPN2,,,
—,545K,K-StateWest Virginia,Big 12,3:29 PM,ESPNU,,,
—,539K,N’WesternIowa,Big Ten,12:00 PM,ESPNU,,,
0.3,461K,BaylorIowa St.,Big 12,12:00 PM,FS1,,,
0.2,358K,Utah St.Boise St.,MWC,10:28 PM,ESPN2,,,
—,144K,USFCincinnati,American,7:00 PM,ESPNU,,,
—,131K,WyomingColorado St.,MWC,10:20 PM,ESPNU,,,
—,3K,FAUFIU,C-USA,7:00 PM,beIN,,,
"Week five numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings","Week five numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings","Week five numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings","Week five numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings","Week five numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings","Week five numbers from ShowBuzz Daily, Programming Insider [1], [2], Sports TV Ratings",,,
WEEK FOUR,WEEK FOUR,WEEK FOUR,WEEK FOUR,WEEK FOUR,WEEK FOUR,,,
"Thursday, September 22","Thursday, September 22","Thursday, September 22","Thursday, September 22","Thursday, September 22","Thursday, September 22",,,
1.1,1.813M,ClemsonGa. Tech,ACC,7:25 PM,ESPN,,,
"Friday, September 23","Friday, September 23","Friday, September 23","Friday, September 23","Friday, September 23","Friday, September 23",,,
0.9,1.357M,TCUSMU,Big 12American,7:55 PM,ESPN,,,
0.7,1.042M,USCUtah,Pac-12,8:59 PM,FS1,,,
"Saturday, September 24","Saturday, September 24","Saturday, September 24","Saturday, September 24","Saturday, September 24","Saturday, September 24",,,
3.3,5.542M,FloridaTennessee,SEC,3:30 PM,CBS,,,
2.4,4.098M,LSUAuburn,SEC,5:56 PM,ESPN,,,
2.3,3.872M,ArkansasTexas A&M,SEC,9:32 PM,ESPN,,,
2.4,3.786M,StanfordUCLA,Pac-12,8:07 PM,ABC,,,
2.4,3.764M,Penn StateMichigan,Big Ten,3:38 PM,ABC,,,
1.7,2.696M,GeorgiaMississippi,SEC,12:01 PM,ESPN,,,
1.7,2.627M,DukeNotre Dame,ACCInd.,3:30 PM,NBC,,,
1.7,2.557M,FSUUSF,ACCAmerican,12:01 PM,ABC,,,
—,1.800M,College Gamedayfrom Tennessee,College Gamedayfrom Tennessee,9:00 AM,ESPN,,,
1.1,1.747M,Oklahoma St.Baylor,Big 12,7:36 PM*,FOX,,,
0.6,952K,BYUWest Virginia,Ind.Big 12,3:30 PM,ESPN2,,,
0.5,815K,IowaRutgers,Big Ten,12:00 PM,ESPN2,,,
0.4,643K,CalArizona St.,Pac-12,10:00 PM,ESPN2,,,
—,440K,PittsburghUNC,ACC,3:30 PM,ESPNU,,,
0.2,372K,Boise St.Oregon St.,MWCPac-12,3:29 PM,FS1,,,
—,319K,Colorado St.Minnesota,MWCBig Ten,12:00 PM,ESPNU,,,
—,252K,HoustonTexas St.,AmericanSun Belt,7:05 PM,ESPNU,,,
—,109K,Air ForceUtah St.,MWC,10:22 PM,ESPNU,,,
—,16K,UCFFIU,AmericanC-USA,7:00 PM,beIN,,,
"Week four numbers from Programming Insider [1], [2], ShowBuzz Daily, Sports TV Ratings","Week four numbers from Programming Insider [1], [2], ShowBuzz Daily, Sports TV Ratings","Week four numbers from Programming Insider [1], [2], ShowBuzz Daily, Sports TV Ratings","Week four numbers from Programming Insider [1], [2], ShowBuzz Daily, Sports TV Ratings","Week four numbers from Programming Insider [1], [2], ShowBuzz Daily, Sports TV Ratings","Week four numbers from Programming Insider [1], [2], ShowBuzz Daily, Sports TV Ratings",,,
WEEK THREE,WEEK THREE,WEEK THREE,WEEK THREE,WEEK THREE,WEEK THREE,,,
"Thursday, September 15","Thursday, September 15","Thursday, September 15","Thursday, September 15","Thursday, September 15","Thursday, September 15",,,
—,2.159M,HoustonCincinnati,American,7:25 PM,ESPN,,,
"Friday, September 16","Friday, September 16","Friday, September 16","Friday, September 16","Friday, September 16","Friday, September 16",,,
0.9,1.454M,BaylorRice,Big 12C-USA,7:55 PM,ESPN,,,
0.4,720K,Arizona StateUTSA,Pac-12C-USA,9:30 PM,ESPN2,,,
"Saturday, September 17","Saturday, September 17","Saturday, September 17","Saturday, September 17","Saturday, September 17","Saturday, September 17",,,
5.0,8.169M,AlabamaMississippi,SEC,3:30 PM,CBS,,,
4.0,6.216M,FSULouisville,ACC,12:01 PM,ABC,,,
3.4,5.804M,Ohio StateOklahoma,Big TenBig 12,9:02 PM,FOX,,,
2.9,4.987M,Michigan StateNotre Dame,Big TenInd.,7:30 PM,NBC,,,
2.55,4.228M,OregonNebraska,Pac-12Big Ten,3:44 PM,ABC,,,
1.8,2.877M,USCStanford,Pac-12,8:07 PM,ABC,,,
1.5,2.447M,TexasCalifornia,Big 12Pac-12,10:55 PM,ESPN,,,
1.2,2.088M,Texas A&MAuburn,SEC,7:05 PM,ESPN,,,
—,1.957M,College Gamedayfrom Louisville,College Gamedayfrom Louisville,9:00 AM,ESPN,,,
0.7,1.191M,Miss. StateLSU,SEC,7:00 PM,ESPN2,,,
0.6,1.000M,PittsburghOklahoma State,ACCBig 12,3:29 PM,ESPN,,,
0.6,968K,NDSUIowa,FCSBig Ten,12:00 PM,ESPN2,,,
0.6,955K,MiamiApp. State,ACCSun Belt,12:00 PM,ESPN,,,
0.5,764K,UCLABYU,Pac-12Ind.,10:45 PM,ESPN2,,,
—,543K,North TexasFlorida,C-USASEC,7:29 PM,ESPNU,,,
0.2,280K,Iowa StateTCU,Big 12,12:00 PM,FS1,,,
—,214K,Boston CollegeVirginia Tech,ACC,3:35 PM,ESPNU,,,
—,145K,KansasMemphis,Big 12American,12:00 PM,ESPNU,,,
—,23K,TroySouthern Miss,Sun BeltC-USA,7:30 PM,beIN,,,
"Week three numbers from ShowBuzz Daily, Sports TV Ratings [1], [2], Programming Insider","Week three numbers from ShowBuzz Daily, Sports TV Ratings [1], [2], Programming Insider","Week three numbers from ShowBuzz Daily, Sports TV Ratings [1], [2], Programming Insider","Week three numbers from ShowBuzz Daily, Sports TV Ratings [1], [2], Programming Insider","Week three numbers from ShowBuzz Daily, Sports TV Ratings [1], [2], Programming Insider","Week three numbers from ShowBuzz Daily, Sports TV Ratings [1], [2], Programming Insider",,,
WEEK TWO,WEEK TWO,WEEK TWO,WEEK TWO,WEEK TWO,WEEK TWO,,,
"Friday, September 9","Friday, September 9","Friday, September 9","Friday, September 9","Friday, September 9","Friday, September 9",,,
—,1.730M,LouisvilleSyracuse,ACC,7:55 PM,ESPN2,,,
"Saturday, September 10","Saturday, September 10","Saturday, September 10","Saturday, September 10","Saturday, September 10","Saturday, September 10",,,
3.3,5.790M,Va. TechTennessee,ACCSEC,8:07 PM,ABC,,,
2.5,4.016M,TulsaOhio St.,AmericanBig Ten,3:33 PM,ABC,,,
1.9,2.863M,UCFMichigan,AmericanBig Ten,12:01 PM,ABC,,,
1.6,2.517M,KentuckyFlorida,SEC,3:30 PM,CBS,,,
1.5,2.470M,ArkansasTCU,SECBig 12,7:00 PM,ESPN,,,
1.4,2.467M,W. KentuckyAlabama,C-USASEC,3:30 PM,ESPN2,,,
1.6,2.451M,NevadaNotre Dame,MWCInd.,3:30 PM,NBC,,,
1.6,2.388M,Penn StatePittsburgh,Big TenACC,12:00 PM,ESPN,,,
—,1.861M,College Gamedayfrom Bristol Motor Speedway,College Gamedayfrom Bristol Motor Speedway,9:00 AM,ESPN,,,
1.0,1.693M,BYUUtah,Ind.Pac-12,7:36 PM,FOX,,,
1.0,1.579M,VirginiaOregon,ACCPac-12,11:04 PM,ESPN,,,
0.8,1.426M,South CarolinaMiss. St.,SEC,7:00 PM,ESPN2,,,
0.6,1.126M,WyomingNebraska,MWCBig Ten,12:00 PM,ESPN2,,,
0.4,834K,Texas TechArizona St.,Big 12Pac-12,10:00 PM,FS1,,,
—,800K,Jacksonville St.LSU,FCSSEC,8:21 PM,ESPNU,,,
0.4,684K,Wash. St.Boise St.,Pac-12MWC,11:14 PM,ESPN2,,,
0.4,668K,SMUBaylor,AmericanBig 12,3:44 PM,FS1,,,
0.3,519K,CMUOklahoma St.,MACBig 12,11:59 AM,FS1,,,
—,397K,N.C. StateECU,ACCAmerican,12:00 PM,ESPNU,,,
—,397K,Wake ForestDuke,ACC,3:30 PM,ESPNU,,,
—,380K,E. MichiganMissouri,MACSEC,7:33 PM,ESPNU,,,
—,6K,Morgan St.Marshall,FCSC-USA,6:00 PM,beIN,,,
"Week two numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings","Week two numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings","Week two numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings","Week two numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings","Week two numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings","Week two numbers from ShowBuzz Daily, Programming Insider, Sports TV Ratings",,,
WEEK ONE,WEEK ONE,WEEK ONE,WEEK ONE,WEEK ONE,WEEK ONE,,,
"Friday, August 25","Friday, August 25","Friday, August 25","Friday, August 25","Friday, August 25","Friday, August 25",,,
0.5,782K,HawaiiCal,MWCPac-12,10:05 PM,ESPN,,,
"Thursday, September 1","Thursday, September 1","Thursday, September 1","Thursday, September 1","Thursday, September 1","Thursday, September 1",,,
1.2,1.942M,South CarolinaVanderbilt,SEC,7:55 PM,ESPN,,,
—,211K,IndianaFIU,Big TenC-USA,7:30 PM,ESPNU,,,
"Friday, September 2","Friday, September 2","Friday, September 2","Friday, September 2","Friday, September 2","Friday, September 2",,,
0.8,1.358M,Kansas StateStanford,Big 12Pac-12,8:59 PM,FS1,,,
0.7,1.073M,Colorado St.Colorado,MWCPac-12,7:55 PM,ESPN,,,
—,143K,ToledoArk. State,MACSun Belt,9:00 PM,ESPNU,,,
"Saturday, September 3","Saturday, September 3","Saturday, September 3","Saturday, September 3","Saturday, September 3","Saturday, September 3",,,
4.6,7.944M,USCAlabama,Pac-12SEC,8:07 PM,ABC,,,
4.6,7.832M,LSUWisconsin,SECBig Ten,3:35 PM,ABC,,,
3.5,5.713M,OklahomaHouston,Big 12American,12:01 PM,ABC,,,
2.6,4.742M,ClemsonAuburn,ACCSEC,9:21 PM,ESPN,,,
1.9,3.529M,GeorgiaUNC,SECACC,5:24 PM,ESPN,,,
1.9,3.107M,UCLATexas A&M,Pac-12SEC,3:30 PM,CBS,,,
—,2.147M,College Gamedayfrom Lambeau Field,College Gamedayfrom Lambeau Field,9:00 AM,ESPN,,,
1.3,2.135M,HawaiiMichigan,WACBig Ten,12:01 PM,ESPN,,,
0.4,786K,MissouriWest Virginia,SECBig 12,12:00 PM,FS1,,,
0.4,728K,BYUArizona,Ind.Pac-12,10:39 PM,FS1,,,
—,682K,Ga. TechBoston College,ACC,7:30 AM,ESPN2,,,
—,418K,Miami (OH)Iowa,MACBig Ten,3:31 PM,ESPNU,,,
—,409K,Southern MissKentucky,C-USASEC,7:30 PM,ESPNU,,,
—,160K,W. MichiganNorthwestern,MACBig Ten,12:00 PM,ESPNU,,,
—,13K,New Mexico St.UTEP,Sun BeltC-USA,8:00 PM,beIN,,,
"Sunday, September 4","Sunday, September 4","Sunday, September 4","Sunday, September 4","Sunday, September 4","Sunday, September 4",,,
6.4,10.945M,Notre DameTexas,Ind.Big 12,7:30 PM,ABC,,,
"Monday, September 5","Monday, September 5","Monday, September 5","Monday, September 5","Monday, September 5","Monday, September 5",,,
4.8,8.354M,MississippiFSU,SECACC,8:00 PM,ESPN,,,
"Week 1 numbers via ShowBuzz Daily, Programming Insider [1], [2]; Sports TV Ratings [1], [2], [3]","Week 1 numbers via ShowBuzz Daily, Programming Insider [1], [2]; Sports TV Ratings [1], [2], [3]","Week 1 numbers via ShowBuzz Daily, Programming Insider [1], [2]; Sports TV Ratings [1], [2], [3]","Week 1 numbers via ShowBuzz Daily, Programming Insider [1], [2]; Sports TV Ratings [1], [2], [3]","Week 1 numbers via ShowBuzz Daily, Programming Insider [1], [2]; Sports TV Ratings [1], [2], [3]","Week 1 numbers via ShowBuzz Daily, Programming Insider [1], [2]; Sports TV Ratings [1], [2], [3]",,,
BOWL SEASON,BOWL SEASON,BOWL SEASON,,BOWL SEASON,BOWL SEASON,,,
"Saturday, December 19","Saturday, December 19","Saturday, December 19",,"Saturday, December 19","Saturday, December 19",,,
2.2,3.675M,Utah/BYULas Vegas Bowl,,3:30 PM,ABC,,,
1.2,1.850M,Ohio/App. St.Camellia Bowl,,5:51 PM,ESPN,,,
—,1.832M,Arizona/UNMNew Mexico Bowl,,2:31 PM,ESPN,,,
0.9,1.450M,Ark. St./La. TechNew Orleans Bowl,,9:20 PM,ESPN,,,
"Monday, December 21","Monday, December 21","Monday, December 21",,"Monday, December 21","Monday, December 21",,,
—,1.152M,WKU/USFMiami Beach Bowl,,2:30 PM,ESPN,,,
"Tuesday, December 22","Tuesday, December 22","Tuesday, December 22",,"Tuesday, December 22","Tuesday, December 22",,,
—,1.962M,Toledo/TempleBoca Raton Bowl,,7:02 PM,ESPN,,,
—,1.076M,Akron/Utah St.Potato Bowl,,3:30 PM,ESPN,,,
"Wednesday, December 23","Wednesday, December 23","Wednesday, December 23",,"Wednesday, December 23","Wednesday, December 23",,,
—,2.335M,Ga. So./BGSUGoDaddy Bowl,,8:00 PM,ESPN,,,
—,1.382M,Boise St./NIUPoinsettia Bowl,,4:27 PM,ESPN,,,
"Thursday, December 24","Thursday, December 24","Thursday, December 24",,"Thursday, December 24","Thursday, December 24",,,
—,2.141M,WMU/MTSUBahamas Bowl,,12:00 PM,ESPN,,,
—,1.636M,SDSU/CINHawaii Bowl,,8:00 PM,ESPN,,,
"Saturday, December 26","Saturday, December 26","Saturday, December 26",,"Saturday, December 26","Saturday, December 26",,,
2.9,4.700M,WSU/MiamiSun Bowl,,2:20 PM,CBS,,,
—,4.046M,NEB/UCLASan Fran Bowl,,9:52 PM,ESPN,,,
2.3,3.770M,Duke/IndianaPinstripe Bowl,,3:30 PM,ABC,,,
—,3.416M,VT/TulsaIndependence Bowl,,5:55 PM,ESPN,,,
—,2.617M,Wash./So. MissHeart of Dallas Bowl,,2:22 PM,ESPN,,,
—,2.400M,Marshall/UConnSt. Petersburg Bowl,,11:00 AM,ESPN,,,
"Monday, December 28","Monday, December 28","Monday, December 28",,"Monday, December 28","Monday, December 28",,,
—,2.182M,Navy/PittMilitary Bowl,,2:30 PM,ESPN,,,
—,1.486M,Minn./CMUQuick Lane Bowl,,5:00 PM,ESPN2,,,
"Tuesday, December 29","Tuesday, December 29","Tuesday, December 29",,"Tuesday, December 29","Tuesday, December 29",,,
—,4.958M,LSU/TTUTexas Bowl,,9:24 PM,ESPN,,,
—,4.202M,Baylor/UNCRuss. Ath. Bowl,,5:41 PM,ESPN,,,
—,1.888M,Cal/Air ForceArmed Forces Bowl,,2:00 PM,ESPN,,,
"Wednesday, December 30","Wednesday, December 30","Wednesday, December 30",,"Wednesday, December 30","Wednesday, December 30",,,
