Team,Year,Conference,PD,W,L,FPI,RK,Capacity
Oklahoma State Cowboys,2013,BIG12,227,10,3,22.4,6,"60,218"
Oklahoma State Cowboys,2014,BIG12,-25,7,6,6.5,48,"60,218"
Oklahoma State Cowboys,2015,BIG12,166,10,3,14.2,24,"60,218"
Oklahoma State Cowboys,2016,BIG12,165,10,3,17.1,15,"60,218"
Oklahoma State Cowboys,2017,BIG12,224,10,3,17,11,"60,218"
Oklahoma State Cowboys,2018,BIG12,110,7,6,10.3,30,"60,218"
Oklahoma State Cowboys,2019,BIG12,98,8,5,8.8,26,"60,218"
Oklahoma State Cowboys,2020,BIG12,74,8,3,14.4,15,"60,218"
Ole Miss Rebels,2010,SEC,-55,4,8,1.3,64,"58,580"
Ole Miss Rebels,2011,SEC,-192,2,10,-6,85,"58,580"
Ole Miss Rebels,2012,SEC,50,7,6,10.4,29,"58,580"
Ole Miss Rebels,2013,SEC,82,8,5,14.1,25,"58,580"
Ole Miss Rebels,2014,SEC,202,9,4,20.5,9,"58,580"
Ole Miss Rebels,2015,SEC,257,10,3,23.6,4,"58,580"
Ole Miss Rebels,2016,SEC,-17,5,7,11.1,29,"58,580"
Ole Miss Rebels,2017,SEC,-21,6,6,2.1,53,"58,580"
Ole Miss Rebels,2018,SEC,-27,5,7,3,58,"58,580"
Ole Miss Rebels,2019,SEC,1,4,8,5.3,46,"58,580"
Ole Miss Rebels,2020,SEC,9,5,5,6.5,35,"58,580"
Oregon Ducks,2010,PAC12,365,12,1,28.2,1,"54,000"
Oregon Ducks,2011,PAC12,300,12,2,26.4,4,"54,000"
Oregon Ducks,2012,PAC12,364,12,1,25,2,"54,000"
Oregon Ducks,2013,PAC12,325,11,2,27.2,3,"54,000"
Oregon Ducks,2014,PAC12,389,13,2,28.3,1,"54,000"
Oregon Ducks,2015,PAC12,118,9,4,14.4,23,"54,000"
Oregon Ducks,2016,PAC12,-72,4,8,3.6,61,"54,000"
Oregon Ducks,2017,PAC12,129,7,6,9.4,28,"54,000"
Oregon Ducks,2018,PAC12,129,9,4,9.9,31,"54,000"
Oregon Ducks,2019,PAC12,291,12,2,21.7,6,"54,000"
Oregon Ducks,2020,PAC12,21,4,3,14.3,17,"54,000"
Oregon State Beavers,2010,PAC12,-29,5,7,8.7,37,"45,674"
Oregon State Beavers,2011,PAC12,-108,3,9,1.7,62,"45,674"
Oregon State Beavers,2012,PAC12,155,9,4,14.7,20,"45,674"
Oregon State Beavers,2013,PAC12,44,7,6,12.8,27,"45,674"
Oregon State Beavers,2014,PAC12,-71,5,7,3.2,61,"45,674"
Oregon State Beavers,2015,PAC12,-216,2,10,-8,97,"45,674"
Oregon State Beavers,2016,PAC12,-52,4,8,0,71,"45,674"
Oregon State Beavers,2017,PAC12,-268,1,11,-12.7,108,"45,674"
Oregon State Beavers,2018,PAC12,-233,2,10,-12.4,104,"45,674"
Oregon State Beavers,2019,PAC12,-16,5,7,0.8,60,"45,674"
Oregon State Beavers,2020,PAC12,-29,2,5,1.2,64,"45,674"
Penn State Nittany Lions,2010,Big10,11,7,6,6.9,40,"106,572"
Penn State Nittany Lions,2011,Big10,33,9,4,7.3,36,"106,572"
Penn State Nittany Lions,2012,Big10,120,8,4,9.5,31,"106,572"
Penn State Nittany Lions,2013,Big10,30,7,5,5.2,55,"106,572"
Penn State Nittany Lions,2014,Big10,56,7,6,4.6,56,"106,572"
Penn State Nittany Lions,2015,Big10,41,7,6,6.9,49,"106,572"
Penn State Nittany Lions,2016,Big10,222,11,3,17.6,13,"106,572"
Penn State Nittany Lions,2017,Big10,348,11,2,25,4,"106,572"
Penn State Nittany Lions,2018,Big10,199,9,4,18.5,8,"106,572"
Penn State Nittany Lions,2019,Big10,296,11,2,21.5,7,"106,572"
Penn State Nittany Lions,2020,Big10,19,4,5,11.9,24,"106,572"
Pittsburgh Panthers,2013,ACC,-11,7,6,5.3,54,"65,500"
Pittsburgh Panthers,2014,ACC,107,6,7,7.2,45,"65,500"
Pittsburgh Panthers,2015,ACC,72,8,5,8.4,45,"65,500"
Pittsburgh Panthers,2016,ACC,105,8,5,12.7,25,"65,500"
Pittsburgh Panthers,2017,ACC,-32,5,7,1.8,57,"65,500"
Pittsburgh Panthers,2018,ACC,-18,7,7,4.8,49,"65,500"
Pittsburgh Panthers,2019,ACC,13,8,5,0.3,61,"65,500"
Pittsburgh Panthers,2020,ACC,49,6,5,5.5,41,"65,500"
Purdue Boilermakers,2010,Big10,-109,4,8,-5.5,82,"62,500"
Purdue Boilermakers,2011,Big10,1,7,6,0,68,"62,500"
Purdue Boilermakers,2012,Big10,-55,6,7,1.1,64,"62,500"
Purdue Boilermakers,2013,Big10,-277,1,11,-13.5,111,"62,500"
Purdue Boilermakers,2014,Big10,-94,3,9,-4,86,"62,500"
Purdue Boilermakers,2015,Big10,-137,2,10,-4.3,89,"62,500"
Purdue Boilermakers,2016,Big10,-164,3,9,-8.8,99,"62,500"
Purdue Boilermakers,2017,Big10,96,7,6,3.9,48,"62,500"
Purdue Boilermakers,2018,Big10,70,6,7,6.9,40,"62,500"
Purdue Boilermakers,2019,Big10,-57,4,8,0,63,"62,500"
Purdue Boilermakers,2020,Big10,-16,2,4,3.8,50,"62,500"
Rutgers Scarlet Knights,2014,Big10,-24,8,5,1.5,67,"52,454"
Rutgers Scarlet Knights,2015,Big10,-94,4,8,-4.9,90,"52,454"
Rutgers Scarlet Knights,2016,Big10,-262,2,10,-12.2,113,"52,454"
Rutgers Scarlet Knights,2017,Big10,-124,4,8,-8.1,94,"52,454"
Rutgers Scarlet Knights,2018,Big10,-215,1,11,-10.4,100,"52,454"
Rutgers Scarlet Knights,2019,Big10,-281,2,10,-15.2,118,"52,454"
Rutgers Scarlet Knights,2020,Big10,-49,3,6,-0.3,72,"52,454"
South Carolina Gamecocks,2010,SEC,109,9,5,16.6,15,"80,250"
South Carolina Gamecocks,2011,SEC,152,11,2,14.6,18,"80,250"
South Carolina Gamecocks,2012,SEC,173,11,2,19.2,11,"80,250"
South Carolina Gamecocks,2013,SEC,179,11,2,20.7,10,"80,250"
South Carolina Gamecocks,2014,SEC,50,7,6,11.4,33,"80,250"
South Carolina Gamecocks,2015,SEC,-67,3,9,4.3,64,"80,250"
South Carolina Gamecocks,2016,SEC,-28,6,7,-0.3,72,"80,250"
South Carolina Gamecocks,2017,SEC,65,9,4,7.4,34,"80,250"
South Carolina Gamecocks,2018,SEC,65,7,6,8.3,35,"80,250"
South Carolina Gamecocks,2019,SEC,-44,4,8,6.9,41,"80,250"
South Carolina Gamecocks,2020,SEC,-125,2,8,-1.7,79,"80,250"
Stanford Cardinal,2010,PAC12,292,12,1,24.2,6,"50,000"
Stanford Cardinal,2011,PAC12,276,11,2,24.4,5,"50,000"
Stanford Cardinal,2012,PAC12,149,12,2,18.5,13,"50,000"
Stanford Cardinal,2013,PAC12,186,11,3,23.5,5,"50,000"
Stanford Cardinal,2014,PAC12,161,8,5,19.2,12,"50,000"
Stanford Cardinal,2015,PAC12,229,12,2,21.4,7,"50,000"
Stanford Cardinal,2016,PAC12,100,10,3,14.3,18,"50,000"
Stanford Cardinal,2017,PAC12,174,9,5,15.8,13,"50,000"
Stanford Cardinal,2018,PAC12,84,9,4,13,21,"50,000"
Stanford Cardinal,2019,PAC12,-98,4,8,0.9,59,"50,000"
Stanford Cardinal,2020,PAC12,-14,4,2,6.8,34,"50,000"
Syracuse Orange,2013,ACC,-35,7,6,-0.5,70,"49,250"
Syracuse Orange,2014,ACC,-87,3,9,-0.8,73,"49,250"
Syracuse Orange,2015,ACC,-45,4,8,0.1,80,"49,250"
Syracuse Orange,2016,ACC,-155,4,8,-2.7,81,"49,250"
Syracuse Orange,2017,ACC,-57,4,8,0.7,64,"49,250"
Syracuse Orange,2018,ACC,190,10,3,10.8,28,"49,250"
Syracuse Orange,2019,ACC,-29,5,7,-1.6,71,"49,250"
Syracuse Orange,2020,ACC,-164,1,10,-8.5,104,"49,250"
TCU Horned Frogs,2012,BIG12,74,7,6,11.1,25,"45,000"
TCU Horned Frogs,2013,BIG12,-2,4,8,8.7,44,"45,000"
TCU Horned Frogs,2014,BIG12,360,12,1,26.1,3,"45,000"
TCU Horned Frogs,2015,BIG12,234,11,2,20.5,10,"45,000"
TCU Horned Frogs,2016,BIG12,70,6,7,9.6,34,"45,000"
TCU Horned Frogs,2017,BIG12,241,11,3,16.8,12,"45,000"
TCU Horned Frogs,2018,BIG12,13,7,6,6,47,"45,000"
TCU Horned Frogs,2019,BIG12,47,5,7,7.3,37,"45,000"
TCU Horned Frogs,2020,BIG12,66,6,4,12.2,21,"45,000"
Tennessee Volunteers,2010,SEC,25,6,7,6.4,43,"102,521"
Tennessee Volunteers,2011,SEC,-27,5,7,6.1,42,"102,521"
Tennessee Volunteers,2012,SEC,6,5,7,8.9,35,"102,521"
Tennessee Volunteers,2013,SEC,-62,5,7,4,59,"102,521"
Tennessee Volunteers,2014,SEC,89,7,6,12.3,31,"102,521"
Tennessee Volunteers,2015,SEC,203,9,4,20.5,9,"102,521"
Tennessee Volunteers,2016,SEC,122,9,4,15.5,17,"102,521"
Tennessee Volunteers,2017,SEC,-111,4,8,-2.6,73,"102,521"
Tennessee Volunteers,2018,SEC,-62,5,7,1.2,65,"102,521"
Tennessee Volunteers,2019,SEC,54,8,5,7.8,33,"102,521"
Tennessee Volunteers,2020,SEC,-86,3,7,3,53,"102,521"
Texas A&M Aggies,2010,BIG12,119,9,4,13.8,19,"106,511"
Texas A&M Aggies,2011,BIG12,142,7,6,17.5,11,"106,511"
Texas A&M Aggies,2012,SEC,295,11,2,24.2,3,"106,511"
Texas A&M Aggies,2013,SEC,156,9,4,18.8,16,"106,511"
Texas A&M Aggies,2014,SEC,130,8,5,15,23,"106,511"
Texas A&M Aggies,2015,SEC,102,8,5,14.6,21,"106,511"
Texas A&M Aggies,2016,SEC,167,8,5,15.5,16,"106,511"
Texas A&M Aggies,2017,SEC,81,7,6,5.9,40,"106,511"
Texas A&M Aggies,2018,SEC,152,9,4,15.9,13,"106,511"
Texas A&M Aggies,2019,SEC,112,8,5,13.6,19,"106,511"
Texas A&M Aggies,2020,SEC,111,9,1,18.2,8,"106,511"
Texas Longhorns,2010,BIG12,1,5,7,6.2,44,"100,119"
Texas Longhorns,2011,BIG12,76,8,5,12.5,21,"100,119"
Texas Longhorns,2012,BIG12,84,9,4,15.6,18,"100,119"
Texas Longhorns,2013,BIG12,45,8,5,14.8,23,"100,119"
Texas Longhorns,2014,BIG12,-1,6,7,8.8,38,"100,119"
Texas Longhorns,2015,BIG12,-47,5,7,6.7,50,"100,119"
Texas Longhorns,2016,BIG12,5,5,7,7.8,44,"100,119"
Texas Longhorns,2017,BIG12,123,7,6,10.6,25,"100,119"
Texas Longhorns,2018,BIG12,94,10,4,13.5,19,"100,119"
Texas Longhorns,2019,BIG12,111,8,5,13,20,"100,119"
Texas Longhorns,2020,BIG12,142,7,3,19.5,6,"100,119"
Texas Tech Red Raiders,2010,BIG12,26,8,5,5.2,50,"60,862"
Texas Tech Red Raiders,2011,BIG12,-65,5,7,2.8,56,"60,862"
Texas Tech Red Raiders,2012,BIG12,74,8,5,10.3,30,"60,862"
Texas Tech Red Raiders,2013,BIG12,68,8,5,9.5,39,"60,862"
Texas Tech Red Raiders,2014,BIG12,-129,4,8,2.1,64,"60,862"
Texas Tech Red Raiders,2015,BIG12,75,7,6,8.8,42,"60,862"
Texas Tech Red Raiders,2016,BIG12,2,5,7,4.7,53,"60,862"
Texas Tech Red Raiders,2017,BIG12,65,6,7,5.6,42,"60,862"
Texas Tech Red Raiders,2018,BIG12,75,5,7,9.1,34,"60,862"
Texas Tech Red Raiders,2019,BIG12,2,4,8,2,56,"60,862"
Texas Tech Red Raiders,2020,BIG12,-76,4,6,0.4,70,"60,862"
UCLA Bruins,2010,PAC12,-123,4,8,1.5,63,"89,702"
UCLA Bruins,2011,PAC12,-116,6,8,3.4,54,"89,702"
UCLA Bruins,2012,PAC12,96,9,5,12.4,23,"89,702"
UCLA Bruins,2013,PAC12,179,10,3,19.7,14,"89,702"
UCLA Bruins,2014,PAC12,105,10,3,19.2,11,"89,702"
UCLA Bruins,2015,PAC12,118,8,5,14.7,20,"89,702"
UCLA Bruins,2016,PAC12,-31,4,8,7.9,43,"89,702"
UCLA Bruins,2017,PAC12,-19,6,7,4.8,45,"89,702"
UCLA Bruins,2018,PAC12,-114,3,9,0.8,68,"89,702"
UCLA Bruins,2019,PAC12,-97,4,8,0.9,58,"89,702"
UCLA Bruins,2020,PAC12,35,3,4,8.5,29,"89,702"
USC Trojans,2010,PAC12,54,8,5,11.7,25,"93,607"
USC Trojans,2011,PAC12,146,10,2,18.2,9,"93,607"
USC Trojans,2012,PAC12,101,7,6,16.1,15,"93,607"
USC Trojans,2013,PAC12,119,10,4,15.7,22,"93,607"
USC Trojans,2014,PAC12,181,9,4,19.2,13,"93,607"
USC Trojans,2015,PAC12,138,8,6,18.8,12,"93,607"
USC Trojans,2016,PAC12,181,10,3,20.1,10,"93,607"
USC Trojans,2017,PAC12,114,11,3,13.6,16,"93,607"
USC Trojans,2018,PAC12,-11,5,7,6.2,46,"93,607"
USC Trojans,2019,PAC12,89,8,5,10.7,23,"93,607"
USC Trojans,2020,PAC12,44,5,1,14.3,18,"93,607"
Utah Utes,2011,PAC12,62,8,5,7.2,37,"45,017"
Utah Utes,2012,PAC12,19,5,7,6.6,47,"45,017"
Utah Utes,2013,PAC12,14,5,7,9.4,40,"45,017"
Utah Utes,2014,PAC12,93,9,4,13.5,27,"45,017"
Utah Utes,2015,PAC12,138,10,3,13.4,27,"45,017"
Utah Utes,2016,PAC12,101,9,4,9.7,33,"45,017"
Utah Utes,2017,PAC12,97,7,6,6.3,38,"45,017"
Utah Utes,2018,PAC12,152,9,5,13.3,20,"45,017"
Utah Utes,2019,PAC12,280,11,3,17.6,14,"45,017"
Utah Utes,2020,PAC12,21,3,2,10,27,"45,017"
Vanderbilt Commodores,2010,SEC,-171,2,10,-7.7,92,"40,550"
Vanderbilt Commodores,2011,SEC,66,6,7,6.6,40,"40,550"
Vanderbilt Commodores,2012,SEC,107,9,4,11.1,26,"40,550"
Vanderbilt Commodores,2013,SEC,71,9,4,5.7,51,"40,550"
Vanderbilt Commodores,2014,SEC,-193,3,9,-8.2,94,"40,550"
Vanderbilt Commodores,2015,SEC,-70,4,8,1.5,74,"40,550"
Vanderbilt Commodores,2016,SEC,28,6,7,4.5,55,"40,550"
Vanderbilt Commodores,2017,SEC,-81,5,7,-3.3,76,"40,550"
Vanderbilt Commodores,2018,SEC,69,6,7,4.2,53,"40,550"
Vanderbilt Commodores,2019,SEC,-183,3,9,-7.6,94,"40,550"
Vanderbilt Commodores,2020,SEC,-205,0,9,-12.7,112,"40,550"
Virginia Cavaliers,2010,ACC,-35,4,8,-1.9,70,"61,500"
Virginia Cavaliers,2011,ACC,-8,8,5,0.2,67,"61,500"
Virginia Cavaliers,2012,ACC,-74,4,8,-2,75,"61,500"
Virginia Cavaliers,2013,ACC,-162,2,10,-6.1,92,"61,500"
Virginia Cavaliers,2014,ACC,21,5,7,6.9,46,"61,500"
Virginia Cavaliers,2015,ACC,-77,4,8,2.1,70,"61,500"
Virginia Cavaliers,2016,ACC,-135,2,10,-4.2,84,"61,500"
Virginia Cavaliers,2017,ACC,-27,6,7,-3.3,75,"61,500"
Virginia Cavaliers,2018,ACC,109,8,5,6.4,42,"61,500"
Virginia Cavaliers,2019,ACC,105,9,5,6.6,42,"61,500"
Virginia Cavaliers,2020,ACC,11,5,5,2.6,57,"61,500"
Virginia Tech Hokies,2010,ACC,184,11,3,18.4,10,"66,233"
Virginia Tech Hokies,2011,ACC,144,11,3,11.8,23,"66,233"
Virginia Tech Hokies,2012,ACC,29,7,6,6.5,48,"66,233"
Virginia Tech Hokies,2013,ACC,42,8,5,8.8,42,"66,233"
Virginia Tech Hokies,2014,ACC,68,7,6,7.9,41,"66,233"
Virginia Tech Hokies,2015,ACC,113,7,6,9.5,38,"66,233"
Virginia Tech Hokies,2016,ACC,193,10,4,13.7,23,"66,233"
Virginia Tech Hokies,2017,ACC,204,9,4,13.4,18,"66,233"
Virginia Tech Hokies,2018,ACC,20,6,7,3.4,55,"66,233"
Virginia Tech Hokies,2019,ACC,115,8,5,4.5,48,"66,233"
Virginia Tech Hokies,2020,ACC,-11,5,6,7.3,32,"66,233"
Wake Forest Demon Deacons,2010,ACC,-159,3,9,-6,83,"31,500"
Wake Forest Demon Deacons,2011,ACC,-18,6,7,-0.2,69,"31,500"
Wake Forest Demon Deacons,2012,ACC,-160,5,7,-7.6,95,"31,500"
Wake Forest Demon Deacons,2013,ACC,-69,4,8,-3.5,79,"31,500"
Wake Forest Demon Deacons,2014,ACC,-139,3,9,-10.4,104,"31,500"
Wake Forest Demon Deacons,2015,ACC,-86,3,9,-3.4,86,"31,500"
Wake Forest Demon Deacons,2016,ACC,3,7,6,2.2,63,"31,500"
Wake Forest Demon Deacons,2017,ACC,143,8,5,8.9,31,"31,500"
Wake Forest Demon Deacons,2018,ACC,28,7,6,2.7,59,"31,500"
Wake Forest Demon Deacons,2019,ACC,63,8,5,2.9,53,"31,500"
Wake Forest Demon Deacons,2020,ACC,29,4,5,5,43,"31,500"
Washington Huskies,2010,PAC12,-99,7,6,4.6,52,"70,138"
Washington Huskies,2011,PAC12,-33,7,6,4.8,48,"70,138"
Washington Huskies,2012,PAC12,-2,7,6,5.4,54,"70,138"
Washington Huskies,2013,PAC12,196,9,4,19.8,13,"70,138"
Washington Huskies,2014,PAC12,94,8,6,11.3,34,"70,138"
Washington Huskies,2015,PAC12,185,7,6,13.3,28,"70,138"
Washington Huskies,2016,PAC12,361,12,2,25.2,5,"70,138"
Washington Huskies,2017,PAC12,297,10,3,21.7,8,"70,138"
Washington Huskies,2018,PAC12,168,10,4,17.3,10,"70,138"
Washington Huskies,2019,PAC12,171,8,5,14.5,16,"70,138"
Washington Huskies,2020,PAC12,21,3,1,7.3,33,"70,138"
Washington State Cougars,2010,PAC12,-195,2,10,-7.7,93,"35,117"
Washington State Cougars,2011,PAC12,-23,4,8,0.8,64,"35,117"
Washington State Cougars,2012,PAC12,-159,3,9,-6.2,92,"35,117"
Washington State Cougars,2013,PAC12,-20,6,7,4.8,56,"35,117"
Washington State Cougars,2014,PAC12,-81,3,9,2.8,62,"35,117"
Washington State Cougars,2015,PAC12,63,9,4,7.1,48,"35,117"
Washington State Cougars,2016,PAC12,170,8,5,14.1,20,"35,117"
Washington State Cougars,2017,PAC12,101,9,4,7.1,36,"35,117"
Washington State Cougars,2018,PAC12,211,11,2,13.6,18,"35,117"
Washington State Cougars,2019,PAC12,114,6,7,7.9,31,"35,117"
Washington State Cougars,2020,PAC12,-46,1,3,0.8,68,"35,117"
West Virginia Mountaineers,2012,BIG12,18,7,6,7.9,42,"60,000"
West Virginia Mountaineers,2013,BIG12,-84,4,8,-0.1,69,"60,000"
West Virginia Mountaineers,2014,BIG12,121,7,6,12.1,32,"60,000"
West Virginia Mountaineers,2015,BIG12,164,8,5,14.4,22,"60,000"
West Virginia Mountaineers,2016,BIG12,124,10,3,13.5,24,"60,000"
West Virginia Mountaineers,2017,BIG12,70,7,6,4.7,46,"60,000"
West Virginia Mountaineers,2018,BIG12,191,8,4,15.1,15,"60,000"
West Virginia Mountaineers,2019,BIG12,-99,5,7,-1.5,68,"60,000"
West Virginia Mountaineers,2020,BIG12,60,6,4,7.4,31,"60,000"
Wisconsin Badgers,2010,Big10,272,11,2,18.2,11,"80,321"
Wisconsin Badgers,2011,Big10,352,11,3,23,7,"80,321"
Wisconsin Badgers,2012,Big10,146,8,6,14,21,"80,321"
Wisconsin Badgers,2013,Big10,241,9,4,18.5,17,"80,321"
Wisconsin Badgers,2014,Big10,222,11,3,17.1,19,"80,321"
Wisconsin Badgers,2015,Big10,191,10,3,13.9,26,"80,321"
Wisconsin Badgers,2016,Big10,195,11,3,17.8,12,"80,321"
Wisconsin Badgers,2017,Big10,302,13,1,21.7,7,"80,321"
Wisconsin Badgers,2018,Big10,95,8,5,11.8,24,"80,321"
Wisconsin Badgers,2019,Big10,268,10,4,21.3,8,"80,321"
Wisconsin Badgers,2020,Big10,54,4,3,18.1,9,"80,321"
