Team,Year,Conference,PD,W,L,FPI,RK,Capacity
TCU Horned Frogs,2017,BIG12,241,11,3,16.8,12,"45,000"
TCU Horned Frogs,2018,BIG12,13,7,6,6,47,"45,000"
TCU Horned Frogs,2019,BIG12,47,5,7,7.3,37,"45,000"
TCU Horned Frogs,2020,BIG12,66,6,4,12.2,21,"45,000"
Tennessee Volunteers,2010,SEC,25,6,7,6.4,43,"102,521"
Tennessee Volunteers,2011,SEC,-27,5,7,6.1,42,"102,521"
Tennessee Volunteers,2012,SEC,6,5,7,8.9,35,"102,521"
Tennessee Volunteers,2013,SEC,-62,5,7,4,59,"102,521"
Tennessee Volunteers,2014,SEC,89,7,6,12.3,31,"102,521"
Tennessee Volunteers,2015,SEC,203,9,4,20.5,9,"102,521"
Tennessee Volunteers,2016,SEC,122,9,4,15.5,17,"102,521"
Tennessee Volunteers,2017,SEC,-111,4,8,-2.6,73,"102,521"
Tennessee Volunteers,2018,SEC,-62,5,7,1.2,65,"102,521"
Tennessee Volunteers,2019,SEC,54,8,5,7.8,33,"102,521"
Tennessee Volunteers,2020,SEC,-86,3,7,3,53,"102,521"
Texas A&M Aggies,2010,BIG12,119,9,4,13.8,19,"100,119"
Texas A&M Aggies,2011,BIG12,142,7,6,17.5,11,"100,119"
Texas A&M Aggies,2012,SEC,295,11,2,24.2,3,"100,119"
Texas A&M Aggies,2013,SEC,156,9,4,18.8,16,"100,119"
Texas A&M Aggies,2014,SEC,130,8,5,15,23,"100,119"
Texas A&M Aggies,2015,SEC,102,8,5,14.6,21,"100,119"
Texas A&M Aggies,2016,SEC,167,8,5,15.5,16,"100,119"
Texas A&M Aggies,2017,SEC,81,7,6,5.9,40,"100,119"
Texas A&M Aggies,2018,SEC,152,9,4,15.9,13,"100,119"
Texas A&M Aggies,2019,SEC,112,8,5,13.6,19,"100,119"
Texas A&M Aggies,2020,SEC,111,9,1,18.2,8,"100,119"
Texas Longhorns,2010,BIG12,1,5,7,6.2,44,"106,511"
Texas Longhorns,2011,BIG12,76,8,5,12.5,21,"106,511"
Texas Longhorns,2012,BIG12,84,9,4,15.6,18,"106,511"
Texas Longhorns,2013,BIG12,45,8,5,14.8,23,"106,511"
Texas Longhorns,2014,BIG12,-1,6,7,8.8,38,"106,511"
Texas Longhorns,2015,BIG12,-47,5,7,6.7,50,"106,511"
Texas Longhorns,2016,BIG12,5,5,7,7.8,44,"106,511"
Texas Longhorns,2017,BIG12,123,7,6,10.6,25,"106,511"
Texas Longhorns,2018,BIG12,94,10,4,13.5,19,"106,511"
Texas Longhorns,2019,BIG12,111,8,5,13,20,"106,511"
Texas Longhorns,2020,BIG12,142,7,3,19.5,6,"106,511"
Texas Tech Red Raiders,2010,BIG12,26,8,5,5.2,50,"60,862"
Texas Tech Red Raiders,2011,BIG12,-65,5,7,2.8,56,"60,862"
Texas Tech Red Raiders,2012,BIG12,74,8,5,10.3,30,"60,862"
Texas Tech Red Raiders,2013,BIG12,68,8,5,9.5,39,"60,862"
Texas Tech Red Raiders,2014,BIG12,-129,4,8,2.1,64,"60,862"
Texas Tech Red Raiders,2015,BIG12,75,7,6,8.8,42,"60,862"
Texas Tech Red Raiders,2016,BIG12,2,5,7,4.7,53,"60,862"
Texas Tech Red Raiders,2017,BIG12,65,6,7,5.6,42,"60,862"
Texas Tech Red Raiders,2018,BIG12,75,5,7,9.1,34,"60,862"
Texas Tech Red Raiders,2019,BIG12,2,4,8,2,56,"60,862"
Texas Tech Red Raiders,2020,BIG12,-76,4,6,0.4,70,"60,862"
UCLA Bruins,2010,PAC12,-123,4,8,1.5,63,"89,702"
UCLA Bruins,2011,PAC12,-116,6,8,3.4,54,"89,702"
UCLA Bruins,2012,PAC12,96,9,5,12.4,23,"89,702"
UCLA Bruins,2013,PAC12,179,10,3,19.7,14,"89,702"
UCLA Bruins,2014,PAC12,105,10,3,19.2,11,"89,702"
UCLA Bruins,2015,PAC12,118,8,5,14.7,20,"89,702"
UCLA Bruins,2016,PAC12,-31,4,8,7.9,43,"89,702"
UCLA Bruins,2017,PAC12,-19,6,7,4.8,45,"89,702"
UCLA Bruins,2018,PAC12,-114,3,9,0.8,68,"89,702"
UCLA Bruins,2019,PAC12,-97,4,8,0.9,58,"89,702"
UCLA Bruins,2020,PAC12,35,3,4,8.5,29,"89,702"
USC Trojans,2010,PAC12,54,8,5,11.7,25,"93,607"
USC Trojans,2011,PAC12,146,10,2,18.2,9,"93,607"
USC Trojans,2012,PAC12,101,7,6,16.1,15,"93,607"
USC Trojans,2013,PAC12,119,10,4,15.7,22,"93,607"
USC Trojans,2014,PAC12,181,9,4,19.2,13,"93,607"
USC Trojans,2015,PAC12,138,8,6,18.8,12,"93,607"
USC Trojans,2016,PAC12,181,10,3,20.1,10,"93,607"
USC Trojans,2017,PAC12,114,11,3,13.6,16,"93,607"
USC Trojans,2018,PAC12,-11,5,7,6.2,46,"93,607"
USC Trojans,2019,PAC12,89,8,5,10.7,23,"93,607"
USC Trojans,2020,PAC12,44,5,1,14.3,18,"93,607"
Utah Utes,2011,PAC12,62,8,5,7.2,37,"45,017"
Utah Utes,2012,PAC12,19,5,7,6.6,47,"45,017"
Utah Utes,2013,PAC12,14,5,7,9.4,40,"45,017"
Utah Utes,2014,PAC12,93,9,4,13.5,27,"45,017"
Utah Utes,2015,PAC12,138,10,3,13.4,27,"45,017"
Utah Utes,2016,PAC12,101,9,4,9.7,33,"45,017"
Utah Utes,2017,PAC12,97,7,6,6.3,38,"45,017"
Utah Utes,2018,PAC12,152,9,5,13.3,20,"45,017"
Utah Utes,2019,PAC12,280,11,3,17.6,14,"45,017"
Utah Utes,2020,PAC12,21,3,2,10,27,"45,017"
Vanderbilt Commodores,2010,SEC,-171,2,10,-7.7,92,"40,550"
Vanderbilt Commodores,2011,SEC,66,6,7,6.6,40,"40,550"
Vanderbilt Commodores,2012,SEC,107,9,4,11.1,26,"40,550"
Vanderbilt Commodores,2013,SEC,71,9,4,5.7,51,"40,550"
Vanderbilt Commodores,2014,SEC,-193,3,9,-8.2,94,"40,550"
Vanderbilt Commodores,2015,SEC,-70,4,8,1.5,74,"40,550"
Vanderbilt Commodores,2016,SEC,28,6,7,4.5,55,"40,550"
Vanderbilt Commodores,2017,SEC,-81,5,7,-3.3,76,"40,550"
Vanderbilt Commodores,2018,SEC,69,6,7,4.2,53,"40,550"
Vanderbilt Commodores,2019,SEC,-183,3,9,-7.6,94,"40,550"
Vanderbilt Commodores,2020,SEC,-205,0,9,-12.7,112,"40,550"
Virginia Cavaliers,2010,ACC,-35,4,8,-1.9,70,"61,500"
Virginia Cavaliers,2011,ACC,-8,8,5,0.2,67,"61,500"
Virginia Cavaliers,2012,ACC,-74,4,8,-2,75,"61,500"
Virginia Cavaliers,2013,ACC,-162,2,10,-6.1,92,"61,500"
Virginia Cavaliers,2014,ACC,21,5,7,6.9,46,"61,500"
Virginia Cavaliers,2015,ACC,-77,4,8,2.1,70,"61,500"
Virginia Cavaliers,2016,ACC,-135,2,10,-4.2,84,"61,500"
Virginia Cavaliers,2017,ACC,-27,6,7,-3.3,75,"61,500"
Virginia Cavaliers,2018,ACC,109,8,5,6.4,42,"61,500"
Virginia Cavaliers,2019,ACC,105,9,5,6.6,42,"61,500"
Virginia Cavaliers,2020,ACC,11,5,5,2.6,57,"61,500"
Virginia Tech Hokies,2010,ACC,184,11,3,18.4,10,"66,233"
Virginia Tech Hokies,2011,ACC,144,11,3,11.8,23,"66,233"
Virginia Tech Hokies,2012,ACC,29,7,6,6.5,48,"66,233"
Virginia Tech Hokies,2013,ACC,42,8,5,8.8,42,"66,233"
Virginia Tech Hokies,2014,ACC,68,7,6,7.9,41,"66,233"
Virginia Tech Hokies,2015,ACC,113,7,6,9.5,38,"66,233"
Virginia Tech Hokies,2016,ACC,193,10,4,13.7,23,"66,233"
Virginia Tech Hokies,2017,ACC,204,9,4,13.4,18,"66,233"
Virginia Tech Hokies,2018,ACC,20,6,7,3.4,55,"66,233"
Virginia Tech Hokies,2019,ACC,115,8,5,4.5,48,"66,233"
Virginia Tech Hokies,2020,ACC,-11,5,6,7.3,32,"66,233"
Wake Forest Demon Deacons,2010,ACC,-159,3,9,-6,83,"31,500"
Wake Forest Demon Deacons,2011,ACC,-18,6,7,-0.2,69,"31,500"
Wake Forest Demon Deacons,2012,ACC,-160,5,7,-7.6,95,"31,500"
Wake Forest Demon Deacons,2013,ACC,-69,4,8,-3.5,79,"31,500"
Wake Forest Demon Deacons,2014,ACC,-139,3,9,-10.4,104,"31,500"
Wake Forest Demon Deacons,2015,ACC,-86,3,9,-3.4,86,"31,500"
Wake Forest Demon Deacons,2016,ACC,3,7,6,2.2,63,"31,500"
Wake Forest Demon Deacons,2017,ACC,143,8,5,8.9,31,"31,500"
Wake Forest Demon Deacons,2018,ACC,28,7,6,2.7,59,"31,500"
Wake Forest Demon Deacons,2019,ACC,63,8,5,2.9,53,"31,500"
Wake Forest Demon Deacons,2020,ACC,29,4,5,5,43,"31,500"
Washington Huskies,2010,PAC12,-99,7,6,4.6,52,"70,138"
Washington Huskies,2011,PAC12,-33,7,6,4.8,48,"70,138"
Washington Huskies,2012,PAC12,-2,7,6,5.4,54,"70,138"
Washington Huskies,2013,PAC12,196,9,4,19.8,13,"70,138"
Washington Huskies,2014,PAC12,94,8,6,11.3,34,"70,138"
Washington Huskies,2015,PAC12,185,7,6,13.3,28,"70,138"
Washington Huskies,2016,PAC12,361,12,2,25.2,5,"70,138"
Washington Huskies,2017,PAC12,297,10,3,21.7,8,"70,138"
Washington Huskies,2018,PAC12,168,10,4,17.3,10,"70,138"
Washington Huskies,2019,PAC12,171,8,5,14.5,16,"70,138"
Washington Huskies,2020,PAC12,21,3,1,7.3,33,"70,138"
Washington State Cougars,2010,PAC12,-195,2,10,-7.7,93,"35,117"
Washington State Cougars,2011,PAC12,-23,4,8,0.8,64,"35,117"
Washington State Cougars,2012,PAC12,-159,3,9,-6.2,92,"35,117"
Washington State Cougars,2013,PAC12,-20,6,7,4.8,56,"35,117"
Washington State Cougars,2014,PAC12,-81,3,9,2.8,62,"35,117"
Washington State Cougars,2015,PAC12,63,9,4,7.1,48,"35,117"
Washington State Cougars,2016,PAC12,170,8,5,14.1,20,"35,117"
Washington State Cougars,2017,PAC12,101,9,4,7.1,36,"35,117"
Washington State Cougars,2018,PAC12,211,11,2,13.6,18,"35,117"
Washington State Cougars,2019,PAC12,114,6,7,7.9,31,"35,117"
Washington State Cougars,2020,PAC12,-46,1,3,0.8,68,"35,117"
West Virginia Mountaineers,2012,BIG12,18,7,6,7.9,42,"60,000"
West Virginia Mountaineers,2013,BIG12,-84,4,8,-0.1,69,"60,000"
West Virginia Mountaineers,2014,BIG12,121,7,6,12.1,32,"60,000"
West Virginia Mountaineers,2015,BIG12,164,8,5,14.4,22,"60,000"
West Virginia Mountaineers,2016,BIG12,124,10,3,13.5,24,"60,000"
West Virginia Mountaineers,2017,BIG12,70,7,6,4.7,46,"60,000"
West Virginia Mountaineers,2018,BIG12,191,8,4,15.1,15,"60,000"
West Virginia Mountaineers,2019,BIG12,-99,5,7,-1.5,68,"60,000"
West Virginia Mountaineers,2020,BIG12,60,6,4,7.4,31,"60,000"
